input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template,p1_bertscore,p2_bertscore,p3_bertscore,p1_duplicate,p1_semantics,p2_duplicate,p2_semantics,p3_duplicate,p3_semantics,p1_ted,p2_ted,p3_ted,p1_correct,p2_correct,p3_correct
I am looking for the latest scientific article related to Machine Learning,FindArticles,[],( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),ParaQuality,11,Can you find me the most recent scientific publication about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Could you help me locate the newest scientific article regarding Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),I need assistance in finding the most up-to-date scientific paper that is connected to Machine Learning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),0.86718583,0.8851937,0.8875156,False,True,False,True,False,True,6.0,5.0,3.0,True,True,True
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( S ( VP ( VB ) ( NP ) ) ( '' ) ),ParaQuality,12,Generate a comment that says 'Best Voice Ever',( S ( VP ( VB ) ( NP ) ) ( '' ) ),Compose a comment expressing 'Best Voice Ever',( S ( VP ( VB ) ( NP ) ) ( '' ) ),Craft a comment to declare 'Best Voice Ever',( S ( VP ( VB ) ( NP ) ) ( '' ) ),0.9416608,0.9225257,0.9269549,False,True,False,True,False,True,0.0,0.0,0.0,True,True,True
Jump to the previous song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,13,Skip to the previous music track,( S ( VP ( VB ) ( PP ) ) ),Go back to the previous song,( S ( VP ( VB ) ( ADVP ) ) ),Navigate to the previous music selection,( S ( VP ( VB ) ( PP ) ) ),0.97152835,0.95322114,0.90827745,False,True,False,True,False,True,0.0,1.0,0.0,True,True,True
Skip to the next song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,14,Move on to the next track,( S ( VP ( VB ) ( PRT ) ( PP ) ) ),Jump to the following song,( S ( VP ( VB ) ( PP ) ) ),Skip to the succeeding tune,( S ( VP ( VB ) ( PP ) ) ),0.93580174,0.9269346,0.9023436,False,True,False,True,False,True,1.0,0.0,0.0,True,True,True
Where can I upgrade my laptop ?,FindStores,"[['query', 'laptop']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),ParaQuality,15,Which places offer laptop upgrades?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) ),Is there anywhere to upgrade my laptop?,( SQ ( VBZ ) ( NP ( EX ) ) ( ADVP ( RB ) ) ( S ( VP ) ) ( . ) ),Where can I find a place that upgrades laptops?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),0.89269733,0.9137901,0.9349184,False,True,False,True,False,True,5.0,8.0,0.0,True,True,True
Could you offer three barbershops in Newtown,FindStores,"[['location', 'Newtown']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),ParaQuality,16,Can you provide me with three barbershops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),I'm looking for three barbershops in Newtown. Can you help me?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) ),Could you recommend three barbershops located in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.93875784,0.9122298,0.9235015,False,True,False,True,False,True,2.0,6.0,1.0,True,True,True
Let me have top three convenience stores near Newtown,FindStores,"[['location', 'Newtown'], ['business', 'convenience stores']]",( S ( VP ( VB ) ( S ) ) ),ParaQuality,17,Can you show me the three best convenience stores near Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I would like to know the top three convenience stores close to Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Please provide me with a list of the top three convenience stores in proximity to Newtown.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9085887,0.91246516,0.91461504,False,True,False,True,False,True,7.0,5.0,5.0,True,True,True
I want reviews for McDonald's at Kensington st.,GetReviews,"[['location', 'Kensington st.'], ['business', ""McDonald's""]]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),ParaQuality,18,Can you give me some feedback about McDonald's located on Kensington Street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I am interested in knowing what people think about the McDonald's restaurant on Kensington St. Can you provide reviews?,( S ( NP ( PRP ) ) ( VP ( VP ) ( MD ) ( S ) ) ( . ) ),Could you please share some reviews for the McDonald's branch at Kensington Street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( . ) ),0.9096601,0.9232051,0.9168373,False,True,False,True,False,True,4.0,3.0,5.0,True,True,True
How far is the closest cab,FindTaxi,[],( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),ParaQuality,19,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) ),Can you tell me how far away the nearest taxi is?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),Please provide the distance to the closest cab.,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9127884,0.89433813,0.9056035,False,True,False,True,False,True,7.0,8.0,7.0,True,True,True
Request a taxi from the airport to home,BookTaxi,"[['from', 'airport'], ['to', 'home']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),ParaQuality,20,Order a taxi to take me home from the airport,( S ( VP ( VB ) ( NP ) ( S ) ) ),Book a cab for me to get from the airport back home,( S ( VP ( VB ) ( NP ) ) ),Arrange for a taxi service to pick me up at the airport and drop me off at my place,( S ( VP ( VB ) ( PP ) ( S ) ) ),0.94567376,0.93948436,0.89184743,False,True,False,True,False,True,1.0,1.0,1.0,True,True,True
What is the forecast for Harrison-Crawford State Forest,GetWeather,"[['geographic_poi', 'Harrison-Crawford State Forest']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,21,Can you provide the weather forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),What's the predicted weather for Harrison-Crawford State Forest?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) ),I'd like to know what the forecast is for Harrison-Crawford State Forest.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.94481254,0.9636937,0.9391136,False,True,False,True,False,True,7.0,2.0,6.0,True,True,True
what is the forecast for colder in Anston,GetWeather,"[['condition_temperature', 'colder'], ['city', 'Anston']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,22,what is the weather forecast for lower temperatures in Anston,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),can you provide me with the weather prediction for a drop in temperature in Anston,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),what does the future hold for cooler weather in Anston,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),0.9539171,0.9018268,0.9297741,False,True,False,True,False,True,0.0,7.0,3.0,True,True,True
How hot is it in Pesotum,GetWeather,"[['condition_temperature', 'hot'], ['city', 'Pesotum']]",( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),SNIPS,23,What is the temperature like in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),Tell me the current temperature in Pesotum.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Can you give me an update on how hot it is in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9431824,0.9130923,0.9207912,False,True,False,True,False,True,6.0,7.0,8.0,True,True,True
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",BookRestaurant,"[['restaurant_type', 'pub'], ['served_dish', 'italian dressing'], ['party_size_number', '5'], ['timeRange', 'February 11, 2033']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,24,"I am looking for a pub that serves Italian dressing and can accommodate a party of 5 on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),"Can you find me a pub where I can have some Italian dressing with my party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),"Is there any pub available on February 11, 2033 that offers Italian dressing and can seat a group of five?",( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( ADJP ) ) ( PP ( IN ) ( NP ) ) ( . ) ),0.9351067,0.9214837,0.90816206,False,True,False,True,False,True,2.0,6.0,10.0,True,True,True
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Reserve a table at a tavern in Equatorial Guinea for nine people this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Make a reservation at a tavern in Equatorial Guinea for nine guests this month.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),Book a table for nine people at a restaurant in Equatorial Guinea this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9533842,0.94677097,0.9383335,False,True,False,True,False,True,1.0,1.0,1.0,True,True,True
Book a table for eight people please,BookRestaurant,"[['party_size_number', 'eight']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),SNIPS,26,Could you reserve a table for eight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"I would like to make a reservation for a table of eight, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Is it possible to book a table for eight people?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) ),0.9059513,0.8907819,0.8972218,False,True,False,True,False,True,6.0,6.0,7.0,True,True,True
Please add Ruud Jolie to my playlist Guest List Polygon,AddToPlaylist,"[['artist', 'Ruud Jolie'], ['playlist_owner', 'my'], ['playlist', 'Guest List Polygon']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,27,Can you include Ruud Jolie in my Guest List Polygon playlist?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"Add Ruud Jolie to the Guest List Polygon playlist, please.","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( ADVP ) ) ( . ) )",I'd like to add Ruud Jolie to my playlist called Guest List Polygon.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.91939557,0.92809016,0.9206553,False,True,False,True,False,True,6.0,5.0,6.0,True,True,True
add this artist named Kirk Hammett to my playlist Party,AddToPlaylist,"[['music_item', 'artist'], ['artist', 'Kirk Hammett'], ['playlist_owner', 'my'], ['playlist', 'Party']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,28,Include this musician called Kirk Hammett in my playlist Party,( S ( VP ( VB ) ( NP ) ) ),Add Kirk Hammett as an artist to my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Can you please add the artist Kirk Hammett to my Party playlist?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( . ) ),0.97343713,0.9226775,0.91307485,False,True,False,True,False,True,1.0,0.0,6.0,True,True,True
I want to put a copy of this tune into Skatepark Punks,AddToPlaylist,"[['music_item', 'tune'], ['playlist', 'Skatepark Punks']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,29,I would like to add this song to Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),Can you please insert a copy of this track into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),Is it possible for me to place this melody in Skatepark Punks?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),0.95519054,0.9459801,0.9261224,False,True,False,True,False,True,2.0,5.0,8.0,True,True,True
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",RateBook,"[['object_name', 'With Lee in Virginia, A Story of the American Civil War'], ['object_part_of_series_type', 'chronicle'], ['rating_value', '4'], ['best_rating', '6']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,30,"Chronicle 4 of 6 in With Lee in Virginia, A Story of the American Civil War would receive my rating.",( S ( NP ( NP ) ( PP ) ( PP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),"With Lee in Virginia, A Story of the American Civil War gets a rating from me: chronicle number 4 out of 6.","( S ( PP ( IN ) ( NP ) ) ( , ) ( NP ( NP ) ( PP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )","My rating for With Lee in Virginia, A Story of the American Civil War is chronicle 4 out of a total series count of six.","( S ( NP ( NP ) ( , ) ( NP ) ) ( VP ( VBZ ) ( ADJP ) ) ( . ) )",0.90733147,0.8854772,0.8780522,False,True,False,True,False,True,4.0,9.0,6.0,True,True,True
Rate this album two out of 6,RateBook,"[['object_select', 'this'], ['object_type', 'album'], ['rating_value', 'two'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,31,Give this album a rating of two out of six,( S ( VP ( VB ) ( NP ) ( NP ) ) ),Rate this album with a score of two out of six,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Assign a rating of two out of six to this album,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.94841856,0.9420057,0.92117417,False,True,False,True,False,True,0.0,1.0,1.0,True,True,True
Give the current part of the saga 4 points out of 6.,RateBook,"[['object_select', 'current'], ['object_part_of_series_type', 'saga'], ['rating_value', '4'], ['rating_unit', 'points'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),SNIPS,32,Rate the current segment of the series with 4 points out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Assign a score of 4 out of 6 to the present section of the storyline.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Give a rating of 4 out of 6 to this part in the ongoing saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9235533,0.91796654,0.91699487,False,True,False,True,False,True,1.0,1.0,1.0,True,True,True
Can you play some fifties music by lavern baker,PlayMusic,"[['year', 'fifties'], ['artist', 'lavern baker']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,33,Could you please play some fifties music by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),"I'd like to listen to some fifties music performed by Lavern Baker, can you play that for me?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Is it possible to have a playlist of fifties songs specifically by Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) ),0.92272097,0.8955469,0.88758904,False,True,False,True,False,True,4.0,6.0,7.0,True,True,True
Play a 1964 track from Shahram Nazeri on Pandora.,PlayMusic,"[['year', '1964'], ['music_item', 'track'], ['artist', 'Shahram Nazeri'], ['service', 'Pandora']]",( S ( VP ( VB ) ( NP ) ) ( . ) ),SNIPS,34,Can you play a song by Shahram Nazeri from 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),Could you please find and play a track from Shahram Nazeri released in 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),I would like to listen to a song from Shahram Nazeri that was released in 1964 on Pandora.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.92642236,0.9191272,0.92652744,False,True,False,True,False,True,6.0,6.0,4.0,True,True,True
Please play me some Satire music,PlayMusic,"[['genre', 'Satire']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,35,Can you play some Satire music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"I would like to listen to Satire music, can you help me with that?",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you find and play some music in the genre of Satire?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9354575,0.89077395,0.8893098,False,True,False,True,False,True,6.0,6.0,8.0,True,True,True
When is Crime and Punishment U.S.A. showing?,SearchScreeningEvent,"[['movie_name', 'Crime and Punishment U.S.A.']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SNIPS,36,What is the schedule for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),Could you please tell me the showtimes for Crime and Punishment U.S.A.?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),"I'm interested in knowing when Crime and Punishment U.S.A. is playing, can you help?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",0.95124274,0.88966334,0.8935032,False,True,False,True,False,True,4.0,7.0,7.0,True,True,True
find Fox Theatres with The Caretaker,SearchScreeningEvent,"[['location_name', 'Fox Theatres'], ['movie_name', 'The Caretaker']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,37,locate Fox Theatres featuring The Caretaker,( S ( VP ( VB ) ( NP ) ) ),search for Fox Theatres showcasing The Caretaker,( NP ( NP ( NP ) ( PP ) ) ( VP ( VBG ) ( NP ) ) ),discover Fox Theatres presenting The Caretaker,( S ( VP ( VB ) ( NP ) ) ),0.9735354,0.94941354,0.9694838,False,True,False,True,False,True,1.0,6.0,1.0,True,True,True
I would like to watch The Wedding Ring at the movie theatre,SearchScreeningEvent,"[['movie_name', 'The Wedding Ring'], ['object_location_type', 'movie theatre']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,38,Can you find showtimes for The Wedding Ring at the cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Could you help me check when The Wedding Ring is playing at the theater?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( S ) ) ( . ) ),I'm interested in seeing a screening of The Wedding Ring. Can you find me movie times at the movie theatre?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),0.9159252,0.90507764,0.9182877,False,True,False,True,False,True,5.0,5.0,7.0,True,True,True
I want to read the book The Lion Sleeps Tonight,SearchCreativeWork,"[['object_type', 'book'], ['object_name', 'The Lion Sleeps Tonight']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,39,I would like to read The Lion Sleeps Tonight book,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),Is it possible for me to read the book titled The Lion Sleeps Tonight?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),Could you recommend a good book called The Lion Sleeps Tonight for me to read?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),0.96141493,0.9313816,0.9153548,False,True,False,True,False,True,2.0,8.0,6.0,True,True,True
