input_utterance,utterance_template,intent,seed_id,source,paraphrase_value,paraphrase_template,bertscore,ted,selected_templates_related_paraphrases,ted_to_selected_templates,_is_similar
I am looking for the latest scientific article related to Machine Learning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),FindArticles,11,ParaQuality,Find the latest scientific article that is related to Machine Learning,( S ( VP ( VB ) ( NP ) ) ),0.91813153,4.0,"['locate Fox Theatres featuring The Caretaker', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Create a comment saying ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ),CreateComment,12,ParaQuality,Can you make a comment that says 'Best Voice Ever'?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VP ) ( '' ) ) ( . ) ),0.90934926,7.0,"['locate Fox Theatres featuring The Caretaker', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Jump to the previous song,( S ( VP ( VB ) ( PP ) ) ),NavigatePlaylist,13,ParaQuality,Find the previous track,( S ( VP ( VB ) ( NP ) ) ),0.9371875,1.0,"['Locate the trending pictures tagged as #LOVE', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Skip to the next song,( S ( VP ( VB ) ( PP ) ) ),NavigatePlaylist,14,ParaQuality,Move on to the next track,( S ( VP ( VB ) ( PRT ) ( PP ) ) ),0.93580174,1.0,"['Retrieve cooking tutorials', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Where can I upgrade my laptop ?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),FindStores,15,ParaQuality,Where can I go to upgrade my laptop?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),0.950926,0.0,"['find the cheapest price from Denver to Pittsburgh', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
Could you offer three barbershops in Newtown,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),FindStores,16,ParaQuality,Can you give me a list of three hair salons in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),0.900303,3.0,"['find the cheapest price from Denver to Pittsburgh', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Let me have top three convenience stores near Newtown,( S ( VP ( VB ) ( S ) ) ),FindStores,17,ParaQuality,Can you list the top three convenience stores near Newtown for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.90664023,7.0,"['Book a cab for me to get from the airport back home', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
I want reviews for McDonald's at Kensington st.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),GetReviews,18,ParaQuality,Can you provide me with reviews of the McDonald's on Kensington st?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9198874,3.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
How far is the closest cab,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),FindTaxi,19,ParaQuality,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) ),0.9127884,7.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
Request a taxi from the airport to home,( S ( VP ( VB ) ( NP ) ( PP ) ) ),BookTaxi,20,ParaQuality,Book a taxi to take me home from the airport,( S ( VP ( VB ) ( NP ) ( S ) ) ),0.94621974,1.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
What is the forecast for Harrison-Crawford State Forest,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),GetWeather,21,SNIPS,Can you provide the forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9557493,7.0,"['Discover the top-rated images labeled with #LOVE', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
what is the forecast for colder in Anston,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),GetWeather,22,SNIPS,Can you give me the forecast for colder weather in Anston?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9100854,8.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
How hot is it in Pesotum,( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),GetWeather,23,SNIPS,What is the temperature like in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),0.9431824,6.0,"['Find videos on how to cook', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),BookRestaurant,24,SNIPS,"Can you find a pub that serves Italian dressing for a party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.93928343,5.0,"['display the airlines that operate flights between Boston and Denver', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
Book a taverna in Equatorial Guinea this month for nine people.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),BookRestaurant,25,SNIPS,Find a tavern in Equatorial Guinea this month for a group of nine.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),0.96548474,0.0,"['locate Fox Theatres featuring The Caretaker', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 3.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",True
Book a table for eight people please,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),BookRestaurant,26,SNIPS,Please reserve a table for a group of eight.,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.91372234,4.0,"['Discover the top-rated images labeled with #LOVE', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 3.0, '( S ( VP ( VB ) ( PP ) ) )': 4.0}",True
Please add Ruud Jolie to my playlist Guest List Polygon,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),AddToPlaylist,27,SNIPS,Find restaurants that serve Italian cuisine.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.83732367,4.0,"['Retrieve cooking tutorials', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
add this artist named Kirk Hammett to my playlist Party,( S ( VP ( VB ) ( NP ) ( PP ) ) ),AddToPlaylist,28,SNIPS,Include this musician named Kirk Hammett in my Party playlist,( VP ( VB ) ( NP ( NP ) ( VP ) ) ),0.96375036,2.0,"['Retrieve cooking tutorials', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",True
I want to put a copy of this tune into Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),AddToPlaylist,29,SNIPS,Locate places that serve Italian cuisine.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.8481603,5.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),RateBook,30,SNIPS,"Find the fourth installment of With Lee in Virginia, A Story of the American Civil War.",( S ( VP ( VB ) ( NP ) ) ( . ) ),0.8989927,5.0,"['Locate the trending pictures tagged as #LOVE', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Rate this album two out of 6,( S ( VP ( VB ) ( NP ) ( NP ) ) ),RateBook,31,SNIPS,Give this album a two out of six rating.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9504429,1.0,"['Book a cab for me to get from the airport back home', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",True
Give the current part of the saga 4 points out of 6.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),RateBook,32,SNIPS,Rate the current installment of the saga as 4 out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9517252,1.0,"['Discover the top-rated images labeled with #LOVE', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Can you play some fifties music by lavern baker,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),PlayMusic,33,SNIPS,Could you please play some songs from the fifties performed by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.9017096,4.0,"['find the cheapest price from Denver to Pittsburgh', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Play a 1964 track from Shahram Nazeri on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) ),PlayMusic,34,SNIPS,Search for a Shahram Nazeri song from 1964 on Pandora.,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ( . ) ),0.9587061,5.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Please play me some Satire music,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),PlayMusic,35,SNIPS,Can you please put on some satirical music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.89961624,8.0,"['Find videos on how to cook', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
When is Crime and Punishment U.S.A. showing?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SearchScreeningEvent,36,SNIPS,When will Crime and Punishment U.S.A. be screened?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),0.93652374,1.0,"['Retrieve cooking tutorials', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
find Fox Theatres with The Caretaker,( S ( VP ( VB ) ( NP ) ( PP ) ) ),SearchScreeningEvent,37,SNIPS,search for cinemas showing The Caretaker at Fox Theatres,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),0.9056562,5.0,"['locate Fox Theatres featuring The Caretaker', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 4.0, '( S ( VP ( VB ) ( PP ) ) )': 4.0}",False
I would like to watch The Wedding Ring at the movie theatre,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SearchScreeningEvent,38,SNIPS,Can you show me the schedule for The Wedding Ring at the local cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9017548,6.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
I want to read the book The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SearchCreativeWork,39,SNIPS,Locate restaurants that serve Italian cuisine,( S ( VP ( VB ) ( NP ) ) ),0.84014213,4.0,"['Find videos on how to cook', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Where can I buy a used copy of the game called I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SearchCreativeWork,41,SNIPS,Where can I purchase a pre-owned version of the game called I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),0.9722663,0.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
please give me the cheapest flight from denver to pittsburgh,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),flight,42,ATIS,Find me the flight with the lowest price from Denver to Pittsburgh,( S ( VP ( VB ) ( NP ) ( NP ) ) ),0.9351168,2.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),flight,43,ATIS,Find flights from Milwaukee to Orlando either in the evening on Wednesday or in the morning on Thursday.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.91380686,6.0,"['locate Fox Theatres featuring The Caretaker', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
what is the lowest fare from denver to pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),airfare,44,ATIS,What is the cheapest rate for a flight from Denver to Pittsburgh?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) ),0.9167883,3.0,"['Find videos on how to cook', 'Search for the most popular photos with the hashtag #LOVE']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False
what is the cheapest one way fare from boston to baltimore,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),airfare,45,ATIS,I'm looking for the cheapest fare from Boston to Baltimore for one person.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),0.90564483,6.0,"['Discover the top-rated images labeled with #LOVE', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
what is the ground transportation from oakland to san francisco,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ground_service,46,ATIS,How can I travel from Oakland to San Francisco?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),0.8916896,6.0,"['Retrieve cooking tutorials', 'Skip to the previous music track']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
can i get a rental car in dallas,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),ground_service,47,ATIS,Is there a way for me to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.90537304,6.0,"['Discover the top-rated images labeled with #LOVE', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
what airlines fly between boston and atlanta,( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),airline,48,ATIS,Which airlines operate flights between Boston and Atlanta?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) ),0.92320716,6.0,"['Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
show me the airlines between boston and denver,( S ( VP ( VB ) ( S ) ) ),airline,49,ATIS,Find the airlines that fly between Boston and Denver,( S ( VP ( VB ) ( NP ) ) ),0.9058491,1.0,"['Retrieve cooking tutorials', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
what does ls stand for,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),abbreviation,50,ATIS,Find the meaning of LS,( S ( VP ( VB ) ( NP ) ) ),0.8483393,6.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
what does dfw mean,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),abbreviation,51,ATIS,What is the meaning of DFW?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),0.9150366,2.0,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Terminate i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),EndEC2Instance,1,ParaQuality,End the i-a541 device now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),0.9369486,0.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Search for cooking videos,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,2,ParaQuality,Look up cooking tutorials,( S ( VP ( VB ) ( PRT ) ( NP ) ) ),0.9246561,4.0,"['discover Fox Theatres presenting The Caretaker', 'Jump to the following song']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Find most popular photos tagged #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) ),SearchWeb,3,ParaQuality,Discover trending photos labeled with #LOVE,( S ( VP ( VB ) ( NP ) ) ),0.95548075,3.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Search for a few nice photos matching Opera House with size 1024px * 768px,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,4,ParaQuality,Locate a few beautiful images with the dimensions of 1024px * 768px that are related to Opera House.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9225851,5.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Are the burglar alarms in the office malfunctioning ?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),CheckDevice,5,ParaQuality,Are there any issues with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),0.93883395,8.0,"['Locate the trending pictures tagged as #LOVE', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Is the TV in the house off ?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),CheckDevice,6,ParaQuality,Has the TV been switched off in the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( VP ) ) ( . ) ),0.9520682,5.0,"['Include this musician called Kirk Hammett in my playlist Party', 'Navigate to the previous music selection']","{'( S ( VP ( VB ) ( NP ) ) )': 8.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False
