input_utterance,paraphrase_value,paraphrase_template
Where can I upgrade my laptop ?,Which places offer laptop upgrades?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) )
Could you offer three barbershops in Newtown,Can you recommend three barbershops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Please show me the three best convenience stores in the vicinity of Newtown,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
I want reviews for McDonald's at Kensington st.,Can you provide me with reviews for the McDonald's located at Kensington St.?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
How far is the closest cab,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Order a taxi to take me home from the airport.,( S ( VP ( VB ) ( NP ) ( S ) ) ( . ) )
what is the forecast for colder in Anston,what's the weather like in Anston for colder?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) )
How hot is it in Pesotum,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Can you find me a pub that serves Italian dressing for a group of 5 people on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Make a reservation for nine people at a tavern in Equatorial Guinea this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Book a table for eight people please,"Can you reserve a table for eight individuals, please?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( , ) ( INTJ ) ) ( . ) )"
Please add Ruud Jolie to my playlist Guest List Polygon,Add Ruud Jolie to my playlist called Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,Include Kirk Hammett in my Party playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,I would like to add a duplicate of this song to Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","Can you provide me with the fourth part of 'With Lee in Virginia, A Story of the American Civil War'?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Rate this album two out of 6,Give this album a rating of 2 out of 6,( S ( VP ( VB ) ( NP ) ( NP ) ) )
Give the current part of the saga 4 points out of 6.,Rate the current section of the saga with a 4 out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Can you please play music from the fifties by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Play a song from Shahram Nazeri's 1964 album on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,Can you play some music that has a Satire genre?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,What time is Crime and Punishment U.S.A. playing?,( SBARQ ( WHNP ( WDT ) ( NN ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) )
find Fox Theatres with The Caretaker,locate Fox Theatres showing The Caretaker,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Can you find a movie theatre showing The Wedding Ring?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I would like to read The Lion Sleeps Tonight book.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Where can I buy a used copy of the game called I Lie Around?,Where can I purchase a secondhand version of the game named I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Can you find the least expensive flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,"I would like to book a flight from Milwaukee to Orlando, either on Wednesday evening or Thursday morning.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,find the cheapest price for a flight from Denver to Pittsburgh,( S ( VP ( VB ) ( NP ) ) )
what is the cheapest one way fare from boston to baltimore,What is the lowest cost for a one-way ticket from Boston to Baltimore?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
what is the ground transportation from oakland to san francisco,what are the transport options from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) )
can i get a rental car in dallas,Is it possible to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) )
what airlines fly between boston and atlanta,Can you tell me which airlines operate flights between Boston and Atlanta?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( WHNP ) ) ( . ) )
show me the airlines between boston and denver,display the airlines operating from boston to denver,( S ( VP ( VB ) ( S ) ) )
what does ls stand for,what is the meaning of ls,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
what does dfw mean,what is the meaning of dfw,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
Terminate i-a541 now,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) )
Search for cooking videos,Find videos about cooking,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Discover the most popular images with the #LOVE tag,( S ( VP ( VB ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px,( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Do the burglar alarms in the office have a malfunction?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Is the TV in the house off ?,Has the TV in the house been turned off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Can you recommend a budget-friendly hotel near Seattle for tomorrow for 2 people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,Can you find me any budget-friendly hotels for a 7-day stay in the vicinity of Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Compose an email to Phil and let her know that ''I have your back'',( S ( VP ( VP ) ( CC ) ( VP ) ) ( '' ) ( '' ) )
I am looking for the latest scientific article related to Machine Learning,Can you find me the most recent scientific paper that discusses Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Compose a comment that says ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Skip to the next song,Go to the next track,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Tell me the places where I can upgrade my laptop.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Could you offer three barbershops in Newtown,Can you recommend three barber shops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Please provide me with the top three convenience stores near Newtown.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Can you provide me with reviews for the McDonald's on Kensington Street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
How far is the closest cab,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Order a taxi from the airport to my residence,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,Can you tell me the weather forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the forecast for colder in Anston,what is the prediction for colder weather in Anston,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
How hot is it in Pesotum,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Can you help me find a pub that serves Italian dressing? It's for a party of 5 on February 11, 2033.",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Make a reservation for a restaurant in Equatorial Guinea this month for nine guests.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Book a table for eight people please,"I would like to reserve a table for a party of eight, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Add Ruud Jolie to the playlist named Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,include this musician called Kirk Hammett in my playlist Party,( S ( VP ( VB ) ( NP ) ) )
I want to put a copy of this tune into Skatepark Punks,Can you add this song to Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","I want to rate With Lee in Virginia, A Story of the American Civil War chapter 4 out of 6",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) )
Rate this album two out of 6,Give this album a rating of 2 out of 6.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Give the current part of the saga 4 points out of 6.,Rate the current part of the saga with 4 out of 6 points.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Could you please play some music from the fifties by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Can you play a song from Shahram Nazeri that was released in 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,Can you play some music in the genre of Satire?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,What are the showtimes for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBP ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,search for Fox Theatres with The Caretaker,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ( PP ( IN ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Can you find a showing of The Wedding Ring at the cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I would like to read the book titled The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Is there a place where I can purchase a second-hand version of the game called I Lie Around?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,"Can you find the most affordable flight from Denver to Pittsburgh, please?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( , ) ( INTJ ) ) ( . ) )"
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,Can you find me a flight from Milwaukee to Orlando on either Wednesday evening or Thursday morning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,what is the cheapest flight from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the cheapest one way fare from boston to baltimore,what is the most affordable price for a one-way trip from Boston to Baltimore,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the ground transportation from oakland to san francisco,how can I get from Oakland to San Francisco by ground transportation,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) )
can i get a rental car in dallas,Is it possible for me to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
show me the airlines between boston and denver,display the airlines that operate flights between Boston and Denver,( S ( VP ( VB ) ( NP ) ) )
what does ls stand for,what is the meaning of ls abbreviation,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
what does dfw mean,what is the meaning of dfw,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
Terminate i-a541 now,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) )
Search for cooking videos,Find videos about cooking,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Discover the top trending pictures with the #LOVE tag,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px,( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Do the office burglar alarms have a malfunction?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NN ) ( NNS ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Is the TV in the house off ?,Has the TV in the house been turned off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,"Can you recommend a cheap hotel close to Seattle for tomorrow night, for two people?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( , ) ( PP ) ) ( . ) )"
Are there any cheap hotels for 7-day stay somewhere near Riverside,Can you find me any budget accommodations for a week-long stay in the vicinity of Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Compose an email to Phil and let her know that ''I've got your back'',( S ( VP ( VP ) ( CC ) ( VP ) ) ( '' ) ( '' ) )
Give me 5 conference articles about text mining,Can you show me 5 conference articles on the topic of text mining?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,Please find me the most recent scientific paper on Machine Learning,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
Jump to the previous song,Skip to the previous music track,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Move on to the next track,( S ( VP ( VB ) ( PRT ) ( PP ) ) )
Where can I upgrade my laptop ?,Can you tell me where I can upgrade my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
Could you offer three barbershops in Newtown,Can you recommend three barbershops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Can you show me the best three convenience stores close to Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Can you give me the reviews for the McDonald's located at Kensington st.?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
How far is the closest cab,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Order a taxi to take me from the airport to my house,( S ( VP ( VB ) ( NP ) ( S ) ) )
What is the forecast for Harrison-Crawford State Forest,Can you tell me the weather forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the forecast for colder in Anston,can you provide the weather forecast for colder conditions in Anston?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
How hot is it in Pesotum,What's the temperature like in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","I'm looking for a pub with Italian dressing where I can hold a party of five on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Reserve a restaurant in Equatorial Guinea this month for a party of nine.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
Book a table for eight people please,Can you reserve a table for eight for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Add Ruud Jolie to my playlist titled Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,include in my Party playlist this artist called Kirk Hammett,( S ( VP ( VB ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,Can you add this song to Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","I want to rate With Lee in Virginia, A Story of the American Civil War part 4 out of 6",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) )
Rate this album two out of 6,Give this album a rating of 2 on a scale of 6.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Give the current part of the saga 4 points out of 6.,Rate the current installment of the saga with 4 out of 6 points.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Could you please play some music from the fifties by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Listen to a song from Shahram Nazeri released in 1964 on Pandora.,( S ( VP ( VB ) ( PP ) ) ( . ) )
Please play me some Satire music,Can you play some music that is satirical?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,What time does the movie Crime and Punishment U.S.A. start?,( SBARQ ( WHNP ( WDT ) ( NN ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) )
find Fox Theatres with The Caretaker,search for cinemas showing The Caretaker at Fox Theatres,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Can you find a showing of The Wedding Ring at a local cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I would like to read the book titled The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Where can I purchase a pre-owned version of the game named I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Can you find the least expensive airplane ticket from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,I need a flight from Milwaukee to Orlando either on Wednesday evening or Thursday morning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,Can you tell me the cheapest price for a flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the cheapest one way fare from boston to baltimore,What is the least expensive one-way ticket price from Boston to Baltimore?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) )
what is the ground transportation from oakland to san francisco,what are the available options for traveling from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) )
can i get a rental car in dallas,is it possible for me to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
what airlines fly between boston and atlanta,which airlines operate flights between Boston and Atlanta,( SBAR ( WHNP ( WDT ) ) ( S ( NP ) ( VP ) ) )
show me the airlines between boston and denver,display the airlines operating between boston and denver,( S ( VP ( VB ) ( S ) ) )
what does ls stand for,Can you tell me the meaning of ls?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what does dfw mean,what is the meaning of dfw,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
Terminate i-a541 now,End the i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) )
Search for cooking videos,Find videos about cooking,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Search for the most popular pictures with the hashtag #LOVE,( S ( VP ( VB ) ( PP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Look for some beautiful pictures that match Opera House with dimensions of 1024px by 768px,( S ( VP ( VB ) ( PP ) ) )
Are the burglar alarms in the office malfunctioning ?,Do the burglar alarms in the office have a malfunction?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Is the TV in the house off ?,Has the TV in the house been turned off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Can you recommend a budget-friendly hotel in Seattle for tomorrow's stay with two people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,Can you find any inexpensive lodging options for a week-long stay in or around Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',"Compose and send an email to Phil, informing her that ''I have your back''","( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) ( '' ) ( '' ) )"
Give me 5 conference articles about text mining,Can you provide me with 5 conference articles related to text mining?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,Can you find me the most recent scientific publication about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Generate a comment that says ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Skip to the next song,Proceed to the following song,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Can you suggest any places where I can upgrade my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Could you offer three barbershops in Newtown,Can you recommend three barbershops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Please show me the best three convenience stores near Newtown,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
I want reviews for McDonald's at Kensington st.,Can you provide me with feedback on McDonald's located on Kensington st.?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
How far is the closest cab,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Order a taxi to take me from the airport back to my house,( S ( VP ( VB ) ( NP ) ( S ) ) )
What is the forecast for Harrison-Crawford State Forest,Can you tell me the weather forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the forecast for colder in Anston,what is the weather like in Anston for colder temperatures,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
How hot is it in Pesotum,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Can you find me a pub with Italian dressing where I can host a party for 5 people on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Book a table for eight people please,Please reserve a table for eight people.,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Can you include Ruud Jolie in the playlist named Guest List Polygon?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
add this artist named Kirk Hammett to my playlist Party,include Kirk Hammett in my Party playlist,( S ( VP ( VB ) ( NP ) ) )
