input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template
I am looking for the latest scientific article related to Machine Learning,FindArticles,[],( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),ParaQuality,11,I need to find the most recent scientific paper about Machine Learning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),Can you help me locate the newest scientific article regarding Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),Could you assist me in finding the latest research paper that concerns Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( S ( VP ( VB ) ( NP ) ) ( '' ) ),ParaQuality,12,Generate a comment that expresses ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),Compose a statement praising the voice as the ''Best Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ),Craft a comment stating that it is the best voice of all time,( S ( VP ( VB ) ( NP ) ) )
Jump to the previous song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,13,Skip to the previous track,( S ( VP ( VB ) ( PP ) ) ),Move back to the last song,( S ( VP ( VB ) ( ADVP ) ) ),Go back to the preceding music,( S ( VP ( VB ) ( ADVP ) ) )
Skip to the next song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,14,Jump to the following track,( S ( VP ( VB ) ( PP ) ) ),Proceed to play the next song,( S ( VP ( VB ) ( S ) ) ),Switch to the next musical piece,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,FindStores,"[['query', 'laptop']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),ParaQuality,15,Which places offer laptop upgrades?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) ),Can you recommend any locations for upgrading my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I need to find a place to upgrade my laptop, where should I go?",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
Could you offer three barbershops in Newtown,FindStores,"[['location', 'Newtown']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),ParaQuality,16,Can you recommend three barbershops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Please provide me with information on three barbershops in Newtown.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),I would like a list of three barbershops in Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Let me have top three convenience stores near Newtown,FindStores,"[['location', 'Newtown'], ['business', 'convenience stores']]",( S ( VP ( VB ) ( S ) ) ),ParaQuality,17,Please show me the three best convenience stores in the vicinity of Newtown,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),I want to know which are the top three convenience stores near Newtown,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),Can you provide me with a list of the top three convenience stores close to Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,GetReviews,"[['location', 'Kensington st.'], ['business', ""McDonald's""]]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),ParaQuality,18,Can you provide me with reviews for the McDonald's located at Kensington St.?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Please give me feedback on the McDonald's restaurant situated at Kensington St.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I'm interested in reading reviews about the McDonald's establishment on Kensington St.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) )
How far is the closest cab,FindTaxi,[],( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),ParaQuality,19,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) ),Can you tell me how close the nearest cab is?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),I'd like to know the proximity of the closest cab.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Request a taxi from the airport to home,BookTaxi,"[['from', 'airport'], ['to', 'home']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),ParaQuality,20,Order a taxi to take me home from the airport.,( S ( VP ( VB ) ( NP ) ( S ) ) ( . ) ),Can you book a taxi for me from the airport back to my place?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( ADVP ) ) ( . ) ),I need a cab to pick me up at the airport and drive me home.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ) ( . ) )
What is the forecast for Harrison-Crawford State Forest,GetWeather,"[['geographic_poi', 'Harrison-Crawford State Forest']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,21,What is the weather prediction for Harrison-Crawford State Forest,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ),Can you tell me the upcoming weather conditions at Harrison-Crawford State Forest,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),I would like to know the forecast for Harrison-Crawford State Forest,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
what is the forecast for colder in Anston,GetWeather,"[['condition_temperature', 'colder'], ['city', 'Anston']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,22,what's the weather like in Anston for colder?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) ),can you give me the forecast for cooler temperatures in Anston?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),tell me about the expected weather conditions for colder in Anston,( S ( VP ( VB ) ( NP ) ( PP ) ) )
How hot is it in Pesotum,GetWeather,"[['condition_temperature', 'hot'], ['city', 'Pesotum']]",( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),SNIPS,23,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) ),Can you tell me the current temperature in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I want to know how hot it is in Pesotum.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",BookRestaurant,"[['restaurant_type', 'pub'], ['served_dish', 'italian dressing'], ['party_size_number', '5'], ['timeRange', 'February 11, 2033']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,24,"Can you find me a pub that serves Italian dressing for a group of 5 people on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),"I'm looking for a pub with Italian dressing where I can host a party of 5 on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),"Please locate a pub that offers Italian dressing and can accommodate a party of five on February 11th, in the year twenty thirty-three.",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Make a reservation for nine people at a tavern in Equatorial Guinea this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Reserve a table for nine at a tavern in Equatorial Guinea during this month.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Arrange a booking for nine individuals at a tavern located in Equatorial Guinea within this month.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Book a table for eight people please,BookRestaurant,"[['party_size_number', 'eight']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),SNIPS,26,"Can you reserve a table for eight individuals, please?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( , ) ( INTJ ) ) ( . ) )","I would like to make a reservation for a table that can accommodate eight people, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you assist me in booking a table for a party of eight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,AddToPlaylist,"[['artist', 'Ruud Jolie'], ['playlist_owner', 'my'], ['playlist', 'Guest List Polygon']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,27,Add Ruud Jolie to my playlist called Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Include Ruud Jolie in my Guest List Polygon playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) ),Can you append Ruud Jolie to the Guest List Polygon playlist?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
add this artist named Kirk Hammett to my playlist Party,AddToPlaylist,"[['music_item', 'artist'], ['artist', 'Kirk Hammett'], ['playlist_owner', 'my'], ['playlist', 'Party']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,28,Include Kirk Hammett in my Party playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) ),Add the artist Kirk Hammett to my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Please add Kirk Hammett to my Party playlist,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,AddToPlaylist,"[['music_item', 'tune'], ['playlist', 'Skatepark Punks']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,29,I would like to add a duplicate of this song to Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),Can you help me insert a version of this melody in Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),I’m interested in placing a replica of this track into Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",RateBook,"[['object_name', 'With Lee in Virginia, A Story of the American Civil War'], ['object_part_of_series_type', 'chronicle'], ['rating_value', '4'], ['best_rating', '6']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,30,"Can you provide me with the fourth part of 'With Lee in Virginia, A Story of the American Civil War'?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"'With Lee in Virginia, A Story of the American Civil War' has six parts. Can you give me part number four?","( S ( `` ) ( PP ( IN ) ( NP ) ) ( , ) ( NP ( NP ) ( PP ) ) ( '' ) ( VP ( VBZ ) ( NP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )","I'm looking for chapter four from 'With Lee in Virginia, A Story of the American Civil War'.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Rate this album two out of 6,RateBook,"[['object_select', 'this'], ['object_type', 'album'], ['rating_value', 'two'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,31,Give this album a rating of 2 out of 6,( S ( VP ( VB ) ( NP ) ( NP ) ) ),"Rate this album on a scale of 1 to 6, and give it a rating of two","( S ( VP ( VP ) ( , ) ( CC ) ( VP ) ) )","Provide a rating for this album, with the score being two out of six","( S ( VP ( VB ) ( NP ) ( , ) ( PP ) ) )"
Give the current part of the saga 4 points out of 6.,RateBook,"[['object_select', 'current'], ['object_part_of_series_type', 'saga'], ['rating_value', '4'], ['rating_unit', 'points'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),SNIPS,32,Rate the current section of the saga with a 4 out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Assign a score of 4 out of 6 to the current installment in the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Evaluate the present part of the saga and give it a rating of 4 out of 6.,( S ( VP ( VP ) ( CC ) ( VP ) ) ( . ) )
Can you play some fifties music by lavern baker,PlayMusic,"[['year', 'fifties'], ['artist', 'lavern baker']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,33,Can you please play music from the fifties by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),Can you play some tracks from the 1950s sung by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Is it possible to listen to a few songs from the fifties performed by Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,PlayMusic,"[['year', '1964'], ['music_item', 'track'], ['artist', 'Shahram Nazeri'], ['service', 'Pandora']]",( S ( VP ( VB ) ( NP ) ) ( . ) ),SNIPS,34,Play a song from Shahram Nazeri's 1964 album on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Can you find and play a track by Shahram Nazeri from the year 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),Please search for and play a music piece released in 1964 by Shahram Nazeri on Pandora.,( S ( NP ( UH ) ) ( VP ( VP ) ( CC ) ( VP ) ) ( . ) )
Please play me some Satire music,PlayMusic,"[['genre', 'Satire']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,35,Can you play some music that has a Satire genre?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I would like to hear some Satire songs, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you find and play some humorous music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,SearchScreeningEvent,"[['movie_name', 'Crime and Punishment U.S.A.']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SNIPS,36,What time is Crime and Punishment U.S.A. playing?,( SBARQ ( WHNP ( WDT ) ( NN ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),When can I watch Crime and Punishment U.S.A.?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),What is the showtime for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,SearchScreeningEvent,"[['location_name', 'Fox Theatres'], ['movie_name', 'The Caretaker']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,37,locate Fox Theatres showing The Caretaker,( S ( VP ( VB ) ( NP ) ) ),search for Fox Theatres playing The Caretaker,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),find theaters screening the movie The Caretaker,( S ( VP ( VB ) ( S ) ) )
I would like to watch The Wedding Ring at the movie theatre,SearchScreeningEvent,"[['movie_name', 'The Wedding Ring'], ['object_location_type', 'movie theatre']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,38,Can you find a movie theatre showing The Wedding Ring?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Is there any cinema where I can watch The Wedding Ring?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),Do you know of any place playing The Wedding Ring that I can go to?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( PP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,SearchCreativeWork,"[['object_type', 'book'], ['object_name', 'The Lion Sleeps Tonight']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,39,I would like to read The Lion Sleeps Tonight book.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Can you find The Lion Sleeps Tonight book for me to read?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Is it possible for me to read the book titled The Lion Sleeps Tonight?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),discover places with Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( NP ) ) )
Where can I buy a used copy of the game called I Lie Around?,SearchCreativeWork,"[['object_type', 'game'], ['object_name', 'I Lie Around']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SNIPS,41,Where can I purchase a secondhand version of the game named I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Can you direct me to a place where I can find a pre-owned copy of the game called I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"I'm looking for somewhere to buy an used edition of the game called I Lie Around, do you know any?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ( . ) ) )"
please give me the cheapest flight from denver to pittsburgh,flight,"[['cost_relative', 'cheapest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),ATIS,42,Can you find the least expensive flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I'm looking for the most affordable plane ticket from Denver to Pittsburgh, can you help me with that?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Could you assist me in finding the cheapest flight options from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,"[['fromloc.city_name', 'milwaukee'], ['toloc.city_name', 'orlando'], ['depart_date.day_name', 'wednesday'], ['depart_time.period_of_day', 'evening'], ['depart_date.day_name', 'thursday'], ['depart_time.period_of_day', 'morning']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),ATIS,43,"I would like to book a flight from Milwaukee to Orlando, either on Wednesday evening or Thursday morning.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Can you assist me in finding a flight from Milwaukee to Orlando? I am flexible with either Wednesday evening or Thursday morning as my departure time.,( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ( PP ) ) ( . ) ),I need to travel from Milwaukee to Orlando and I am available for flights on either Wednesday evening or Thursday morning. Can you help me with this?,( S ( S ( NP ) ( VP ) ) ( CC ) ( S ( NP ) ( VP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,airfare,"[['cost_relative', 'lowest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,44,find the cheapest price for a flight from Denver to Pittsburgh,( S ( VP ( VB ) ( NP ) ) ),what is the least expensive flight ticket from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),show me the lowest cost fare for traveling between Denver and Pittsburgh,( S ( VP ( VB ) ( NP ) ( NP ) ) )
what is the cheapest one way fare from boston to baltimore,airfare,"[['cost_relative', 'cheapest'], ['round_trip', 'one way'], ['fromloc.city_name', 'boston'], ['toloc.city_name', 'baltimore']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,45,What is the lowest cost for a one-way ticket from Boston to Baltimore?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),Tell me the most economical one-way fare from Boston to Baltimore.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Can you find me the least expensive ticket for a one-way trip from Boston to Baltimore?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the ground transportation from oakland to san francisco,ground_service,"[['fromloc.city_name', 'oakland'], ['toloc.city_name', 'san francisco']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,46,what are the transport options from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) ),how can I travel from Oakland to San Francisco?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),tell me about the ground transportation choices between Oakland and San Francisco,( S ( VP ( VB ) ( NP ) ( PP ) ) )
