input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template,p1_bertscore,p2_bertscore,p3_bertscore,p1_duplicate,p1_semantics,p1_correct,p2_duplicate,p2_semantics,p2_correct,p3_duplicate,p3_semantics,p3_correct
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( S ( VP ( VB ) ( NP ) ) ( '' ) ),ParaQuality,12,Generate a comment that says ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),Compose a comment expressing ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),Make a comment stating ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),0.96072924,0.93898964,0.9919632,False,True,True,False,True,True,True,True,False
Jump to the previous song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,13,Switch to the previous song,( S ( VP ( VB ) ( PP ) ) ),Go back to the previous song,( S ( VP ( VB ) ( ADVP ) ) ),Skip to the last played song,( S ( VP ( VB ) ( PP ) ) ),0.9994617,0.95322114,0.942515,True,True,False,False,True,True,False,True,True
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Reserve a restaurant in Equatorial Guinea this month for nine individuals.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),Make a reservation at a taverna in Equatorial Guinea this month for a group of nine.,( S ( VP ( VB ) ( NP ) ( PP ) ( NP ) ( PP ) ) ( . ) ),Arrange to eat at a taverna in Equatorial Guinea this month with nine people.,( S ( VP ( VB ) ( S ) ) ( . ) ),0.9825666,0.9448802,0.93312824,True,True,False,False,True,True,False,True,True
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),find places that have Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( NP ) ) ),0.9817496,0.9994621,0.94173527,True,True,False,True,True,False,False,True,True
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,which airlines operate flights between boston and atlanta,( SBAR ( WHNP ( WDT ) ) ( S ( NP ) ( VP ) ) ),can you find me the airlines that fly from boston to atlanta,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),show me the air carriers offering service between boston and atlanta,( S ( VP ( VB ) ( NP ) ( NP ) ) ),0.98728675,0.9300396,0.9401869,True,True,False,False,True,True,False,True,True
What is the forecast for Harrison-Crawford State Forest,GetWeather,"[['geographic_poi', 'Harrison-Crawford State Forest']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,21,What is the weather prediction for Harrison-Crawford State Forest,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ),Can you tell me the expected weather for Harrison-Crawford State Forest,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),I would like to know the forecasted conditions for Harrison-Crawford State Forest,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),0.98353285,0.94534016,0.9404519,True,True,False,False,True,True,False,True,True
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),discover Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( S ) ) ),0.9994621,0.9817496,0.9995087,True,True,False,True,True,False,True,True,False
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( S ( VP ( VB ) ( NP ) ) ( '' ) ),ParaQuality,12,Make a comment that says ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),Generate a comment expressing ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),Compose a comment stating ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),0.9801982,0.9508442,0.9576077,True,True,False,False,True,True,False,True,True
Jump to the previous song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,13,Go back to the previous track,( S ( VP ( VB ) ( ADVP ) ) ),Skip to the previous song,( S ( VP ( VB ) ( PP ) ) ),Move to the last played song,( S ( VP ( VB ) ( PP ) ) ),0.93228674,0.9995054,0.94069374,False,True,True,True,True,False,False,True,True
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),find places with Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( NP ) ) ),0.9817496,0.9994621,0.95636064,True,True,False,True,True,False,False,True,True
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,which airlines operate flights between boston and atlanta,( SBAR ( WHNP ( WDT ) ) ( S ( NP ) ( VP ) ) ),what are the airlines that fly from boston to atlanta,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ),can you tell me the names of the airlines that provide service between boston and atlanta,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),0.98728675,0.95833206,0.9280497,True,True,False,False,True,True,False,True,True
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Reserve a restaurant in Equatorial Guinea for nine people this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Find a place to eat in Equatorial Guinea that can accommodate nine people this month.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Make a reservation at a taverna in Equatorial Guinea for a group of nine this month.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( NP ) ) ( . ) ),0.9815286,0.92778516,0.9432685,True,True,False,False,True,True,False,True,True
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),find places where I can listen to Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( NP ) ) ),0.9817496,0.9994621,0.91817605,True,True,False,True,True,False,False,True,True
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,which airlines operate flights between boston and atlanta,( SBAR ( WHNP ( WDT ) ) ( S ( NP ) ( VP ) ) ),can you tell me the airlines that offer flights from boston to atlanta,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),find me the airline options for traveling between boston and atlanta,( S ( VP ( VB ) ( NP ) ( NP ) ) ),0.98728675,0.92818415,0.92473155,True,True,False,False,True,True,False,True,True
Search for cooking videos,SearchWeb,"[['query', 'cooking videos']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,2,Find videos on cooking,( S ( VP ( VB ) ( NP ) ) ),Look for videos about cooking,( S ( VP ( VB ) ( PP ) ) ),Search for instructional cooking videos,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),0.93668246,0.9635492,0.9803966,False,True,True,False,True,True,True,True,False
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Reserve a restaurant in Equatorial Guinea for nine people this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Make a reservation at a taverna in Equatorial Guinea for a party of nine this month.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( NP ) ) ( . ) ),"Book a table at an eatery in Equatorial Guinea for the upcoming month, accommodating nine individuals.","( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( , ) ( S ) ) ( . ) )",0.9815286,0.9409871,0.92518616,True,True,False,False,True,True,False,True,True
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),find places where I can listen to Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( NP ) ) ),0.9817496,0.9994621,0.91817605,True,True,False,True,True,False,False,True,True
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,which airlines operate flights between boston and atlanta,( SBAR ( WHNP ( WDT ) ) ( S ( NP ) ( VP ) ) ),list the airlines that fly from boston to atlanta,( S ( VP ( VB ) ( NP ) ) ),can you tell me what airlines provide service between boston and atlanta,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ),0.98728675,0.9594116,0.9316545,True,True,False,False,True,True,False,True,True
